Zip,City,State,Latitude,Longitude
22334,Alexandria,VA,38.815762,-77.09005
22307,Alexandria,VA,38.774863,-77.0593
22302,Alexandria,VA,38.829512,-77.08204
20172,Herndon,VA,38.831813,-77.288755
22333,Alexandria,VA,38.815762,-77.09005
22156,Springfield,VA,38.831813,-77.288755
22092,Herndon,VA,38.831813,-77.288755
20196,Reston,VA,38.831813,-77.288755
20195,Reston,VA,38.831813,-77.288755
22332,Alexandria,VA,38.803142,-77.072679
22043,Falls Church,VA,38.901311,-77.19777
22308,Alexandria,VA,38.728464,-77.05701
20176,Leesburg,VA,39.138978,-77.54519
20177,Leesburg,VA,39.158095,-77.666863
20194,Reston,VA,38.977362,-77.34658
22096,Reston,VA,38.831813,-77.288755
22037,Fairfax,VA,38.831813,-77.288755
22152,Springfield,VA,38.775716,-77.23131
22301,Alexandria,VA,38.819863,-77.05854
22106,McLean,VA,38.831813,-77.288755
22032,Fairfax,VA,38.821753,-77.29293
22313,Alexandria,VA,38.815762,-77.09005
20178,Leesburg,VA,39.072918,-77.608014
20101,Dulles,VA,39.002125,-77.442066
22047,Falls Church,VA,38.831813,-77.288755
22158,Springfield,VA,38.831813,-77.288755
22124,Oakton,VA,38.88619,-77.32402
22027,Dunn Loring,VA,38.893921,-77.21976
22310,Alexandria,VA,38.782013,-77.12125
20146,Ashburn,VA,39.085309,-77.645224
20192,Herndon,VA,38.831813,-77.288755
22331,Alexandria,VA,38.801342,-77.070733
20103,Dulles,VA,38.996242,-77.449952
20193,Reston,VA,38.831813,-77.288755
22312,Alexandria,VA,38.817362,-77.1537
22101,McLean,VA,38.93276,-77.1677
22160,Springfield,VA,38.831813,-77.288755
20153,Chantilly,VA,38.831813,-77.288755
22042,Falls Church,VA,38.864669,-77.18781
22150,Springfield,VA,38.778243,-77.18562
22033,Fairfax,VA,38.874879,-77.38642
22159,Springfield,VA,38.831813,-77.288755
22015,Burke,VA,38.788646,-77.27888
22309,Alexandria,VA,38.725214,-77.10734
22031,Fairfax,VA,38.859675,-77.26167
20152,Chantilly,VA,38.90371,-77.5038
22336,Alexandria,VA,38.815762,-77.09005
22320,Alexandria,VA,38.804413,-77.046699
20137,Broad Run,VA,38.810629,-77.7057
22314,Alexandria,VA,38.806163,-77.05139
20151,Chantilly,VA,38.889111,-77.4363
20171,Herndon,VA,38.931479,-77.40085
22035,Fairfax,VA,38.855715,-77.361633
20124,Clifton,VA,38.797424,-77.39237
22041,Falls Church,VA,38.849136,-77.14081
20149,Ashburn,VA,39.085309,-77.645224
20102,Dulles,VA,39.085309,-77.645224
22030,Fairfax,VA,38.846212,-77.32787
22039,Fairfax Station,VA,38.760747,-77.31684
22095,Herndon,VA,38.831813,-77.288755
22153,Springfield,VA,38.745164,-77.23535
22046,Falls Church,VA,38.886311,-77.18098
20170,Herndon,VA,38.977109,-77.38527
20148,Ashburn,VA,39.020637,-77.52276
22040,Falls Church,VA,38.884177,-77.171752
22102,McLean,VA,38.938664,-77.22196
20104,Dulles,VA,39.085309,-77.645224
20190,Reston,VA,38.959673,-77.3462
20175,Leesburg,VA,39.080037,-77.58025
22304,Alexandria,VA,38.813013,-77.11667
22305,Alexandria,VA,38.836779,-77.06418
22038,Fairfax,VA,38.852849,-77.30199
22009,Burke,VA,38.831813,-77.288755
22303,Alexandria,VA,38.792863,-77.07964
22321,Alexandria,VA,38.831813,-77.288755
22034,Fairfax,VA,38.831813,-77.288755
22315,Alexandria,VA,38.757924,-77.15284
22093,Ashburn,VA,39.085309,-77.645224
20147,Ashburn,VA,39.041978,-77.49064
22161,Springfield,VA,38.807462,-77.219354
22036,Fairfax,VA,38.735114,-77.07965
22044,Falls Church,VA,38.859645,-77.15328
22109,McLean,VA,38.920165,-77.229043
22311,Alexandria,VA,38.837312,-77.12064
22151,Springfield,VA,38.803813,-77.20821
22306,Alexandria,VA,38.757214,-77.08666
20199,Dulles,VA,39.085309,-77.645224
20191,Reston,VA,38.934709,-77.3469
23290,Richmond,VA,37.524246,-77.493157
23297,Richmond,VA,37.389721,-77.561266
23228,Richmond,VA,37.621745,-77.48896
23250,Richmond,VA,37.507498,-77.332916
23227,Richmond,VA,37.606778,-77.44775
23275,Richmond,VA,37.524246,-77.493157
23230,Richmond,VA,37.580346,-77.48831
23232,Richmond,VA,37.520187,-77.408359
23218,Richmond,VA,37.524246,-77.493157
23241,Richmond,VA,37.524246,-77.493157
23260,Richmond,VA,37.524246,-77.493157
23273,Richmond,VA,37.524246,-77.493157
23270,Richmond,VA,37.524246,-77.493157
23282,Richmond,VA,37.524246,-77.493157
23294,Richmond,VA,37.633316,-77.54775
23288,Richmond,VA,37.531296,-77.416103
23231,Richmond,VA,37.482896,-77.36304
23222,Richmond,VA,37.573595,-77.42504
23226,Richmond,VA,37.581696,-77.51709
23219,Richmond,VA,37.541046,-77.43536
23240,Richmond,VA,37.524246,-77.493157
23999,Richmond,VA,37.561962,-77.425452
23279,Richmond,VA,37.524246,-77.493157
23238,Richmond,VA,37.733844,-77.888082
23234,Richmond,VA,37.457341,-77.4658
23223,Richmond,VA,37.544746,-77.40085
23289,Richmond,VA,37.531296,-77.416103
23237,Richmond,VA,37.406204,-77.4533
23278,Richmond,VA,37.524246,-77.493157
23225,Richmond,VA,37.51918,-77.49851
23276,Richmond,VA,37.524246,-77.493157
23236,Richmond,VA,37.475798,-77.58235
23261,Richmond,VA,37.524246,-77.493157
23298,Richmond,VA,37.539694,-77.42815
23224,Richmond,VA,37.505147,-77.46101
23235,Richmond,VA,37.522514,-77.56565
23269,Richmond,VA,37.524246,-77.493157
23242,Richmond,VA,37.531296,-77.416103
23266,Richmond,VA,37.567896,-77.528308
23272,Richmond,VA,37.524246,-77.493157
23284,Richmond,VA,37.549446,-77.451155
23293,Richmond,VA,37.524246,-77.493157
23221,Richmond,VA,37.557626,-77.48844
23274,Richmond,VA,37.524246,-77.493157
23220,Richmond,VA,37.549396,-77.45739
23229,Richmond,VA,37.593546,-77.56271
23291,Richmond,VA,37.524246,-77.493157
23255,Richmond,VA,37.531296,-77.416103
23286,Richmond,VA,37.524246,-77.493157
23285,Richmond,VA,37.524246,-77.493157
23292,Richmond,VA,37.524246,-77.493157
23201,Richmond,VA,37.541106,-77.431825
23249,Richmond,VA,37.524246,-77.493157
23280,Richmond,VA,37.637622,-77.46836
23005,Ashland,VA,37.754254,-77.47465
23233,Richmond,VA,37.622465,-77.61965
